reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
-113.58669135493165,-113.70909114252093,-113.69929540088711,-113.65931071765783,-113.65842138534164,-113.58881673503667,9400,2.662761688232422,0.0824284628033638
-101.721833447059,-104.2015803566693,-101.71438448079365,-103.15614168503842,-105.12261135858468,-102.76133866694643,9600,2.6469480991363525,0.06074637919664383
-109.20231601688762,-108.95546403717063,-108.95322951680794,-108.04610773264244,-108.96256528546475,-108.22075630981134,9800,2.708094358444214,0.0748073160648346
-110.62954579920965,-110.20063419475966,-112.0523645985021,-110.19999450925675,-110.17683375183958,-101.7797937030848,10000,2.707098960876465,0.052436623722314835
-111.09071105866941,-111.03725132080602,-91.82159540618522,-98.26936534685355,-103.6415580575207,-111.05905201906525,10200,2.7475991249084473,0.043725013732910156
27.71518103110534,-86.3257804578046,-85.0238458760075,-90.51762357366232,-86.99451476915925,-93.57307195494867,10400,2.71120285987854,0.03194154053926468
20.29557239499657,270.35556734380424,76.85669737705228,122.55101552975381,274.5518268939914,161.41891748990884,10600,2.697974681854248,0.030937165021896362
-109.00488951466232,-109.00301952298933,-108.99269962782847,-108.55456277319522,-108.3552582589017,-108.9985038191029,10800,2.7339086532592773,0.031501270830631256
-108.96659600912656,-110.79840359027264,-108.95989924568931,-108.18673105957576,-118.59484416613542,-109.10971932414765,11000,2.6416444778442383,0.025571314617991447
-107.89886735096388,-107.44292246827048,-107.84615879915685,-107.46625323230184,-107.36331789693175,-107.69643740590492,11200,2.7101762294769287,0.03165850415825844
-114.6047360297128,-109.54396769110556,-114.59586439163175,-109.55998040723055,-114.58256367651745,-115.14065116045728,11400,2.7858223915100098,0.03270941972732544
-108.89458163248204,-108.91371380936417,-108.82355583190855,-108.50651719863527,-109.63858164818026,-108.88429251842823,11600,2.7612383365631104,0.03255819156765938
-107.96166358548605,-108.14313214750806,-106.75136728635337,-106.58648168220185,-106.8441064462047,-106.69452035718908,11800,2.7834205627441406,0.022203542292118073
-108.01600397488599,-107.74192776916735,-107.88621483609205,-108.50975118984081,-108.12712537822252,-108.12376641109353,12000,2.749857187271118,0.02381836250424385
-108.68317094932559,-108.6650118506762,-108.62552822235483,-108.63699717977332,-108.66897739650184,-108.63566448337367,12200,2.772068977355957,0.03038608841598034
-107.76421466336461,-107.93267487108925,-107.82049022018724,-107.73253256031731,-107.74806603412517,-107.88520015276733,12400,2.720027208328247,0.020451392978429794
-109.1231718373752,-107.8773149405246,-107.86931997902722,-109.32701535929196,-107.86362308344555,-109.12650875235815,12600,2.7445263862609863,0.015989791601896286
-107.96909422341517,-107.79051065468292,-107.9740001168785,-107.7820416779723,-107.75579646901352,-107.77993768552156,12800,2.7925634384155273,0.019119061529636383
-109.18648301822412,-110.49986323933179,-110.49910712708036,-109.18663919512647,-109.04129219640605,-109.8432031236159,13000,2.802863597869873,0.02104061469435692
-106.99403269837549,-107.02569325294671,-107.44093243075783,-107.42448853279052,-107.3559677941644,-107.41014541509996,13200,2.8002710342407227,0.016601301729679108
-108.36204980379033,-108.24279598766643,-108.26734188881703,-108.33190700772312,-108.294599664138,-108.34745984326179,13400,2.8193864822387695,0.014734258875250816
-106.89836802904122,-106.94800986804316,-106.88863913765023,-106.98914536262117,-106.92808715812676,-106.97143880142768,13600,2.807560920715332,0.015324968844652176
-39.763188873140805,-39.913377008163096,-31.12808544806238,-40.05434751886486,-35.621158707618065,-32.50486159232725,13800,2.818314790725708,0.013449542224407196
-111.43243423131504,-115.73616397666777,-117.05613667391117,-113.44608361777601,-113.44381268711325,-111.42542464417592,14000,2.8096566200256348,0.010860876180231571
-120.69501024284523,-120.67882566861064,-120.70827025735409,-120.69189804074975,-120.69750916758055,-120.74531559874023,14200,2.8032336235046387,0.014593071304261684
